Item,History Ticker,Forecast Ticker
Browns Ferry 1,PWNA.NRC.GEN.0004600001.A,PWNA.NRC.GEN.0004600001.F
Browns Ferry 2,PWNA.NRC.GEN.0004600002.A,PWNA.NRC.GEN.0004600002.F
Browns Ferry 3,PWNA.NRC.GEN.0004600003.A,PWNA.NRC.GEN.0004600003.F
Clinton,PWNA.NRC.GEN.0020400001.A,PWNA.NRC.GEN.0020400001.F
Wolf Creek 1,PWNA.NRC.GEN.0021000001.A,PWNA.NRC.GEN.0021000001.F
Columbia Generating Station,PWNA.NRC.GEN.0037100002.A,PWNA.NRC.GEN.0037100002.F
Millstone 2,PWNA.NRC.GEN.0056600002.A,PWNA.NRC.GEN.0056600002.F
Millstone 3,PWNA.NRC.GEN.0056600003.A,PWNA.NRC.GEN.0056600003.F
Turkey Point 3,PWNA.NRC.GEN.0062100003.A,PWNA.NRC.GEN.0062100003.F
Turkey Point 4,PWNA.NRC.GEN.0062100004.A,PWNA.NRC.GEN.0062100004.F
Vogtle 1,PWNA.NRC.GEN.0064900001.A,PWNA.NRC.GEN.0064900001.F
Vogtle 2,PWNA.NRC.GEN.0064900002.A,PWNA.NRC.GEN.0064900002.F
Vogtle 3,PWNA.NRC.GEN.0064900003.A,PWNA.NRC.GEN.0064900003.F
Vogtle 4,PWNA.NRC.GEN.0064900004.A,PWNA.NRC.GEN.0064900004.F
Dresden 2,PWNA.NRC.GEN.0086900002.A,PWNA.NRC.GEN.0086900002.F
Dresden 3,PWNA.NRC.GEN.0086900003.A,PWNA.NRC.GEN.0086900003.F
Quad Cities 1,PWNA.NRC.GEN.0088000001.A,PWNA.NRC.GEN.0088000001.F
Quad Cities 2,PWNA.NRC.GEN.0088000002.A,PWNA.NRC.GEN.0088000002.F
Duane Arnold,PWNA.NRC.GEN.0106000001.A,PWNA.NRC.GEN.0106000001.F
Pilgrim 1,PWNA.NRC.GEN.0159000001.A,PWNA.NRC.GEN.0159000001.F
Palisades,PWNA.NRC.GEN.0171500001.A,PWNA.NRC.GEN.0171500001.F
Fermi 2,PWNA.NRC.GEN.0172900002.A,PWNA.NRC.GEN.0172900002.F
Monticello,PWNA.NRC.GEN.0192200001.A,PWNA.NRC.GEN.0192200001.F
Prairie Island 1,PWNA.NRC.GEN.0192500001.A,PWNA.NRC.GEN.0192500001.F
Prairie Island 2,PWNA.NRC.GEN.0192500002.A,PWNA.NRC.GEN.0192500002.F
Fort Calhoun,PWNA.NRC.GEN.0228900001.A,PWNA.NRC.GEN.0228900001.F
Oyster Creek,PWNA.NRC.GEN.0238800001.A,PWNA.NRC.GEN.0238800001.F
Salem 1,PWNA.NRC.GEN.0241000001.A,PWNA.NRC.GEN.0241000001.F
Salem 2,PWNA.NRC.GEN.0241000002.A,PWNA.NRC.GEN.0241000002.F
Indian Point 2,PWNA.NRC.GEN.0249700002.A,PWNA.NRC.GEN.0249700002.F
Nine Mile Point 1,PWNA.NRC.GEN.0258900001.A,PWNA.NRC.GEN.0258900001.F
Nine Mile Point 2,PWNA.NRC.GEN.0258900002.A,PWNA.NRC.GEN.0258900002.F
Peach Bottom 2,PWNA.NRC.GEN.0316600002.A,PWNA.NRC.GEN.0316600002.F
Peach Bottom 3,PWNA.NRC.GEN.0316600003.A,PWNA.NRC.GEN.0316600003.F
Robinson 2,PWNA.NRC.GEN.0325100002.A,PWNA.NRC.GEN.0325100002.F
Oconee 1,PWNA.NRC.GEN.0326500001.A,PWNA.NRC.GEN.0326500001.F
Oconee 2,PWNA.NRC.GEN.0326500002.A,PWNA.NRC.GEN.0326500002.F
Oconee 3,PWNA.NRC.GEN.0326500003.A,PWNA.NRC.GEN.0326500003.F
Vermont Yankee,PWNA.NRC.GEN.0375100001.A,PWNA.NRC.GEN.0375100001.F
Surry 1,PWNA.NRC.GEN.0380600001.A,PWNA.NRC.GEN.0380600001.F
Surry 2,PWNA.NRC.GEN.0380600002.A,PWNA.NRC.GEN.0380600002.F
Point Beach 1,PWNA.NRC.GEN.0404600001.A,PWNA.NRC.GEN.0404600001.F
Point Beach 2,PWNA.NRC.GEN.0404600002.A,PWNA.NRC.GEN.0404600002.F
Waterford 3,PWNA.NRC.GEN.0427000003.A,PWNA.NRC.GEN.0427000003.F
D.C. Cook 1,PWNA.NRC.GEN.0600000001.A,PWNA.NRC.GEN.0600000001.F
D.C. Cook 2,PWNA.NRC.GEN.0600000002.A,PWNA.NRC.GEN.0600000002.F
Farley 1,PWNA.NRC.GEN.0600100001.A,PWNA.NRC.GEN.0600100001.F
Farley 2,PWNA.NRC.GEN.0600100002.A,PWNA.NRC.GEN.0600100002.F
Palo Verde 1,PWNA.NRC.GEN.0600800001.A,PWNA.NRC.GEN.0600800001.F
Palo Verde 2,PWNA.NRC.GEN.0600800002.A,PWNA.NRC.GEN.0600800002.F
Palo Verde 3,PWNA.NRC.GEN.0600800003.A,PWNA.NRC.GEN.0600800003.F
Calvert Cliffs 1,PWNA.NRC.GEN.0601100001.A,PWNA.NRC.GEN.0601100001.F
Calvert Cliffs 2,PWNA.NRC.GEN.0601100002.A,PWNA.NRC.GEN.0601100002.F
Brunswick 1,PWNA.NRC.GEN.0601400001.A,PWNA.NRC.GEN.0601400001.F
Brunswick 2,PWNA.NRC.GEN.0601400002.A,PWNA.NRC.GEN.0601400002.F
Harris 1,PWNA.NRC.GEN.0601500001.A,PWNA.NRC.GEN.0601500001.F
Perry 1,PWNA.NRC.GEN.0602000001.A,PWNA.NRC.GEN.0602000001.F
Braidwood 1,PWNA.NRC.GEN.0602200001.A,PWNA.NRC.GEN.0602200001.F
Braidwood 2,PWNA.NRC.GEN.0602200002.A,PWNA.NRC.GEN.0602200002.F
Byron 1,PWNA.NRC.GEN.0602300001.A,PWNA.NRC.GEN.0602300001.F
Byron 2,PWNA.NRC.GEN.0602300002.A,PWNA.NRC.GEN.0602300002.F
LaSalle 1,PWNA.NRC.GEN.0602600001.A,PWNA.NRC.GEN.0602600001.F
LaSalle 2,PWNA.NRC.GEN.0602600002.A,PWNA.NRC.GEN.0602600002.F
Catawba 1,PWNA.NRC.GEN.0603600001.A,PWNA.NRC.GEN.0603600001.F
Catawba 2,PWNA.NRC.GEN.0603600002.A,PWNA.NRC.GEN.0603600002.F
McGuire 1,PWNA.NRC.GEN.0603800001.A,PWNA.NRC.GEN.0603800001.F
McGuire 2,PWNA.NRC.GEN.0603800002.A,PWNA.NRC.GEN.0603800002.F
Beaver Valley 1,PWNA.NRC.GEN.0604000001.A,PWNA.NRC.GEN.0604000001.F
Beaver Valley 2,PWNA.NRC.GEN.0604000002.A,PWNA.NRC.GEN.0604000002.F
Saint Lucie 1,PWNA.NRC.GEN.0604500001.A,PWNA.NRC.GEN.0604500001.F
Saint Lucie 2,PWNA.NRC.GEN.0604500002.A,PWNA.NRC.GEN.0604500002.F
Hatch 1,PWNA.NRC.GEN.0605100001.A,PWNA.NRC.GEN.0605100001.F
Hatch 2,PWNA.NRC.GEN.0605100002.A,PWNA.NRC.GEN.0605100002.F
Grand Gulf 1,PWNA.NRC.GEN.0607200001.A,PWNA.NRC.GEN.0607200001.F
Diablo Canyon 1,PWNA.NRC.GEN.0609900001.A,PWNA.NRC.GEN.0609900001.F
Diablo Canyon 2,PWNA.NRC.GEN.0609900002.A,PWNA.NRC.GEN.0609900002.F
Susquehanna 1,PWNA.NRC.GEN.0610300001.A,PWNA.NRC.GEN.0610300001.F
Susquehanna 2,PWNA.NRC.GEN.0610300002.A,PWNA.NRC.GEN.0610300002.F
Limerick 1,PWNA.NRC.GEN.0610500001.A,PWNA.NRC.GEN.0610500001.F
Limerick 2,PWNA.NRC.GEN.0610500002.A,PWNA.NRC.GEN.0610500002.F
FitzPatrick,PWNA.NRC.GEN.0611000001.A,PWNA.NRC.GEN.0611000001.F
Seabrook 1,PWNA.NRC.GEN.0611500001.A,PWNA.NRC.GEN.0611500001.F
Hope Creek 1,PWNA.NRC.GEN.0611800001.A,PWNA.NRC.GEN.0611800001.F
Ginna,PWNA.NRC.GEN.0612200001.A,PWNA.NRC.GEN.0612200001.F
Summer,PWNA.NRC.GEN.0612700001.A,PWNA.NRC.GEN.0612700001.F
Comanche Peak 1,PWNA.NRC.GEN.0614500001.A,PWNA.NRC.GEN.0614500001.F
Comanche Peak 2,PWNA.NRC.GEN.0614500002.A,PWNA.NRC.GEN.0614500002.F
Davis-Besse,PWNA.NRC.GEN.0614900001.A,PWNA.NRC.GEN.0614900001.F
Sequoyah 1,PWNA.NRC.GEN.0615200001.A,PWNA.NRC.GEN.0615200001.F
Sequoyah 2,PWNA.NRC.GEN.0615200002.A,PWNA.NRC.GEN.0615200002.F
Callaway,PWNA.NRC.GEN.0615300001.A,PWNA.NRC.GEN.0615300001.F
North Anna 1,PWNA.NRC.GEN.0616800001.A,PWNA.NRC.GEN.0616800001.F
North Anna 2,PWNA.NRC.GEN.0616800002.A,PWNA.NRC.GEN.0616800002.F
South Texas 1,PWNA.NRC.GEN.0625100001.A,PWNA.NRC.GEN.0625100001.F
South Texas 2,PWNA.NRC.GEN.0625100002.A,PWNA.NRC.GEN.0625100002.F
River Bend 1,PWNA.NRC.GEN.0646200001.A,PWNA.NRC.GEN.0646200001.F
Watts Bar 1,PWNA.NRC.GEN.0772200001.A,PWNA.NRC.GEN.0772200001.F
Watts Bar 2,PWNA.NRC.GEN.0772200002.A,PWNA.NRC.GEN.0772200002.F
Three Mile Island 1,PWNA.NRC.GEN.0801100001.A,PWNA.NRC.GEN.0801100001.F
Cooper,PWNA.NRC.GEN.0803600001.A,PWNA.NRC.GEN.0803600001.F
Arkansas Nuclear 1,PWNA.NRC.GEN.0805500001.A,PWNA.NRC.GEN.0805500001.F
Arkansas Nuclear 2,PWNA.NRC.GEN.0805500002.A,PWNA.NRC.GEN.0805500002.F
Indian Point 3,PWNA.NRC.GEN.0890700003.A,PWNA.NRC.GEN.0890700003.F
