Date,Managed Money,Producers,Swaps
2022-02-08,35297,-75659,160646
2022-02-15,-6352,-68409,168179
2022-02-22,-201,-71890,167649
2022-03-01,-2396,-73479,163083
2022-03-08,-15426,-68882,166077
2022-03-15,-13480,-58266,163536
2022-03-22,-6051,-58257,164643
2022-03-29,179,-64001,156089
2022-04-05,16158,-68399,159895
2022-04-12,25602,-75263,164224
2022-04-19,21619,-80558,161327
2022-04-26,25424,-90565,161489
2022-05-03,19957,-94004,166170
2022-05-10,11649,-89922,153328
2022-05-17,8095,-93089,156682
2022-05-24,8770,-98311,161437
2022-05-31,-6011,-100884,160396
2022-06-07,-6457,-98442,164508
2022-06-14,-26219,-103361,177693
2022-06-21,-35620,-96361,182473
2022-06-28,-49474,-87095,178619
2022-07-05,-51393,-81040,173815
2022-07-12,-68275,-82787,177704
2022-07-19,-52816,-87305,174506
2022-07-26,-55631,-88751,172002
2022-08-02,-62525,-82476,170348
2022-08-09,-65753,-76918,163868
2022-08-16,-51461,-79249,162191
2022-08-23,-55491,-78205,169436
2022-08-30,-52250,-78161,170841
2022-09-06,-71836,-72139,178166
2022-09-13,-78582,-69748,180822
2022-09-20,-82642,-54516,176156
2022-09-27,-92319,-55920,177621
2022-10-04,-98758,-55379,181989
2022-10-11,-94123,-54410,185118
2022-10-18,-87631,-56273,183268
2022-10-25,-85221,-55560,189408
2022-11-01,-75627,-60823,187949
2022-11-08,-70917,-65747,185531
2022-11-15,-67148,-67065,187430
2022-11-22,-70667,-56914,200256
2022-11-29,-62900,-60590,196901
2022-12-06,-71832,-61181,197057
2022-12-13,-47911,-57817,187928
2022-12-20,-55202,-57814,186170
2022-12-27,-63467,-53712,187280
2023-01-03,-74840,-46850,189846
2023-01-10,-87220,-44092,188787
2023-01-17,-87278,-46075,193695
2023-01-24,-81530,-55401,194799
2023-01-31,-83229,-57680,192000
2023-02-07,-70337,-60416,200127
2023-02-14,-67463,-64006,201656
2023-02-21,-76888,-67540,209978
2023-02-28,-34931,-74442,225314
2023-03-07,-33722,-92473,220055
2023-03-14,-17965,-98688,217214
2023-03-21,-2660,-101938,216054
2023-03-28,2000,-104616,200456
2023-04-04,-11496,-101326,204675
2023-04-11,-10462,-98672,211944
2023-04-18,-19233,-100751,213399
2023-04-25,-39229,-104628,210536
2023-05-02,-52114,-100455,211936
2023-05-09,-54533,-100895,207359
2023-05-16,-43450,-102587,197665
2023-05-23,-32907,-104351,185275
2023-05-30,-45060,-116236,191043
2023-06-06,-67067,-101458,193776
2023-06-13,-58514,-105829,192868
2023-06-20,-31342,-99695,179055
2023-06-27,-21071,-115437,178723
2023-07-03,473,-119064,187320
2023-07-11,11538,-119601,175338
2023-07-18,-15230,-115471,180880
2023-07-25,3624,-103978,174717
2023-08-01,-16823,-100346,178327
2023-08-08,14080,-94439,175712
2023-08-15,9965,-102131,168683
2023-08-22,-18034,-92024,171938
2023-08-29,-35241,-85915,177976
2023-09-05,-31823,-83687,174726
2023-09-12,-27149,-87122,173423
2023-09-19,-32811,-88265,162985
2023-09-26,-56190,-89955,166474
2023-10-03,-41224,-98485,160044
2023-10-10,25965,-110680,143223
2023-10-17,-5345,-116185,150145
2023-10-24,-22027,-110186,161596
2023-10-31,15570,-115152,155017
2023-11-07,-36278,-99306,150235
2023-11-14,-70306,-79894,163827
2023-11-21,-102554,-64762,162693
2023-11-28,-104061,-75243,162828
2023-12-05,-121576,-76355,166274
2023-12-12,-123044,-66679,155592
2023-12-19,-120457,-71361,156464
2023-12-26,-104762,-80599,168829
2024-01-02,-78451,-96773,174709
2024-01-09,-45474,-128011,182344
2024-01-16,-7369,-150045,188266
2024-01-23,-37426,-135532,193628
2024-01-30,-70011,-123863,199741
2024-02-06,-95903,-118017,200599
2024-02-13,-128416,-91891,193166
2024-02-20,-158673,-73123,191031
2024-02-27,-121193,-79338,192152
2024-03-05,-106708,-96611,195375
2024-03-12,-98042,-111974,182730
2024-03-19,-87438,-106355,179088
2024-03-26,-85436,-94078,186743
2024-04-02,-83182,-90233,186566
2024-04-09,-88386,-86240,193304
2024-04-16,-114389,-87685,196911
2024-04-23,-88391,-87644,203553
2024-04-30,-103768,-71495,204953
2024-05-07,-57266,-76048,197049
2024-05-14,-12701,-98123,203066
2024-05-21,14455,-131028,207433
2024-05-28,42864,-134647,195578
2024-06-04,16847,-97637,183729
2024-06-11,40984,-84219,175329
2024-06-18,38642,-86459,177846
2024-06-25,34625,-100985,177405
2024-07-02,3166,-86922,162603
2024-07-09,-34317,-74065,161096
2024-07-16,-58050,-73376,149189
2024-07-23,-55719,-65068,137838
2024-07-30,-53537,-60551,128210
2024-08-06,-51787,-50045,99424
2024-08-13,-61413,-52410,116569
2024-08-20,-40280,-56914,123694
2024-08-27,-70707,-51897,130048
2024-09-03,-69956,-51747,136879
2024-09-10,-50645,-58267,132559
2024-09-17,-37964,-55574,131390
2024-09-24,-14801,-57132,138946
2024-10-01,-13713,-46799,142167
2024-10-08,-19620,-32687,146840
2024-10-15,-79431,-31363,160371
2024-10-22,-130407,-18938,179583
2024-10-29,-132888,-17353,180292
2024-11-05,-145947,-28802,179683
2024-11-12,-137304,-28894,179934
2024-11-19,-123292,-19443,174790
2024-11-26,-61717,-22648,173311
2024-12-03,-72717,-15471,165542
2024-12-10,-79556,-23346,161010
2024-12-17,-66250,-24317,146168
2024-12-24,-4050,-29073,142149
2024-12-31,-4196,-47693,156685
2025-01-07,21483,-53749,152000
2025-01-14,55482,-75228,132418
2025-01-21,46475,-91801,137757
2025-01-28,51951,-89021,135924
2025-02-04,47914,-81957,131184
2025-02-11,73781,-76071,132470
2025-02-18,103867,-68148,137042
2025-02-25,106477,-80454,129542
2025-03-04,108075,-69081,123210
2025-03-11,91517,-51361,118237
2025-03-18,64803,-36013,126833
2025-03-25,40154,-30313,133612
2025-04-01,25071,-26719,120589
2025-04-08,19519,-20104,109299
2025-04-15,5061,-11751,111413
2025-04-22,-26023,-2105,97241
2025-04-29,-44297,-859,113113
2025-05-06,-45230,88,113378
2025-05-13,-38649,-2808,106718
2025-05-20,-56807,-13921,118780
2025-05-27,-63541,-8679,124542
2025-06-03,-52765,-9494,101289
2025-06-10,-84420,-13352,109161
2025-06-17,-63260,-36213,112486
2025-06-24,-60725,-40845,117291
