Pipeline Name,Shipper Name,Expiration Date,Max Quantity,Receipt Points,Delivery Points
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF SUGAR HILL GEORGIA,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF UNION SOUTH CAROLINA,06/30/2003,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF UNION SOUTH CAROLINA,10/31/2017,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF UNION SOUTH CAROLINA,03/23/1998,187,"[('UNION SC M7124', 187)]","[('STA 45 POOL ZN2', 47), ('STA 50 POOL ZN3', 35), ('STA 62 POOL ZN3', 73), ('STA 65 POOL ZN3', 32)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF UNION SOUTH CAROLINA,06/28/2005,5796,"[('STA 65 POOL ZN3', 40), ('UNION SC M7124', 5796)]","[('STA 30 POOL ZN1', 985), ('STA 45 POOL ZN2', 1450), ('STA 50 POOL ZN3', 1101), ('STA 62 POOL ZN3', 2260), ('WASHINGTON STG TRANS', 40)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF UNION SOUTH CAROLINA,06/28/2005,104,"[('STA 65 POOL ZN3', 40), ('UNION SC M7124', 104)]","[('STA 30 POOL ZN1', 18), ('STA 45 POOL ZN2', 25), ('STA 50 POOL ZN3', 20), ('STA 62 POOL ZN3', 41), ('WASHINGTON STG TRANS', 40)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF UNION SOUTH CAROLINA,03/16/1998,181,"[('UNION SC M7124', 181)]","[('STA 45 POOL ZN2', 46), ('STA 50 POOL ZN3', 34), ('STA 62 POOL ZN3', 70), ('STA 65 POOL ZN3', 31)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF UNION SOUTH CAROLINA,10/31/2015,1300,"[('UNION SC M7124', 1300)]","[('STA 85 POOL ZN4', 1300)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF UNION SOUTH CAROLINA,10/31/2017,2070,"[('UNION SC M7124', 2070)]","[('STA 65 POOL ZN3', 1610), ('STA 85 POOL ZN4', 460)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF UNION SOUTH CAROLINA,10/31/2017,509,"[('CAROLINA GAS', 509)]","[('STA 65 POOL ZN3', 509), ('STA 85 POOL ZN4', 0)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF UNION SOUTH CAROLINA,10/30/2013,616,"[('UNION SC M7124', 616)]","[('STA 30 POOL ZN1', 105), ('STA 45 POOL ZN2', 154), ('STA 50 POOL ZN3', 117), ('STA 62 POOL ZN3', 240)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF UNION SOUTH CAROLINA,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF UNION SOUTH CAROLINA,03/31/2030,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","CITY OF WILSON, NC",09/30/2013,3500,"[('DANVILLE', 3500)]","[('STA 30 POOL ZN1', 595), ('STA 45 POOL ZN2', 875), ('STA 50 POOL ZN3', 665), ('STA 62 POOL ZN3', 1365)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","CITY OF WILSON, NC",03/31/2061,3930,"[('DOWNINGTOWN', 3930)]","[('STA 45 POOL ZN2', 983), ('STA 50 POOL ZN3', 746), ('STA 62 POOL ZN3', 2201)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF WINDER GEORGIA,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CLINTON-NEWBERRY NATURAL GAS AUTHORITY,10/31/2013,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CLINTON-NEWBERRY NATURAL GAS AUTHORITY,03/31/2024,9419,"[('STA 65 POOL ZN3', 40), ('CLINTON NEWB M7091', 9419)]","[('STA 30 POOL ZN1', 1601), ('STA 45 POOL ZN2', 2355), ('STA 50 POOL ZN3', 1790), ('STA 62 POOL ZN3', 3673), ('WASHINGTON STG TRANS', 40)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CLINTON-NEWBERRY NATURAL GAS AUTHORITY,03/31/2024,2070,"[('CLINTON NEWB M7091', 2070)]","[('HEIDELBERG', 2070)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CLINTON-NEWBERRY NATURAL GAS AUTHORITY,03/31/2024,104,"[('STA 65 POOL ZN3', 40), ('CLINTON NEWB M7091', 104)]","[('STA 30 POOL ZN1', 18), ('STA 45 POOL ZN2', 25), ('STA 50 POOL ZN3', 20), ('STA 62 POOL ZN3', 41), ('WASHINGTON STG TRANS', 40)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CLINTON-NEWBERRY NATURAL GAS AUTHORITY,10/31/2015,1783,"[('CLINTON NEWB M7091', 1783)]","[('STA 85 POOL ZN4', 1783)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CLINTON-NEWBERRY NATURAL GAS AUTHORITY,10/31/2017,3105,"[('CLINTON NEWB M7091', 3105)]","[('STA 65 POOL ZN3', 805), ('STA 85 POOL ZN4', 2300)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CLINTON-NEWBERRY NATURAL GAS AUTHORITY,04/30/2017,2000,"[('CLINTON NEWB M7091', 2000)]","[('SHUBUTA-DESTIN M3576', 2000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CLINTON-NEWBERRY NATURAL GAS AUTHORITY,04/30/2028,1500,"[('CLINTON NEWB M7091', 1500)]","[('SHUBUTA-DESTIN M3576', 1500)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CLINTON-NEWBERRY NATURAL GAS AUTHORITY,03/31/2035,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","COMMISSION OF PUBLIC WORKS, CITY OF GREER SOUTH CAROLINA",10/31/2013,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","COMMISSION OF PUBLIC WORKS, CITY OF GREER SOUTH CAROLINA",09/06/2011,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","COMMISSION OF PUBLIC WORKS, CITY OF GREER SOUTH CAROLINA",02/25/1998,94,"[('GREER', 94)]","[('STA 45 POOL ZN2', 23), ('STA 50 POOL ZN3', 19), ('STA 62 POOL ZN3', 36), ('STA 65 POOL ZN3', 16)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","COMMISSION OF PUBLIC WORKS, CITY OF GREER SOUTH CAROLINA",12/30/2011,5175,"[('GREER', 5175)]","[('STA 45 POOL ZN2', 1294), ('STA 50 POOL ZN3', 983), ('STA 62 POOL ZN3', 2018), ('STA 65 POOL ZN3', 880)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","COMMISSION OF PUBLIC WORKS, CITY OF GREER SOUTH CAROLINA",10/31/2005,2070,"[('GREER', 2070)]","[('HEIDELBERG', 1171), ('HOLMESVILLE', 899)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","COMMISSION OF PUBLIC WORKS, CITY OF GREER SOUTH CAROLINA",03/16/1998,90,"[('GREER', 90)]","[('STA 45 POOL ZN2', 22), ('STA 50 POOL ZN3', 17), ('STA 62 POOL ZN3', 35), ('STA 65 POOL ZN3', 16)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","COMMISSION OF PUBLIC WORKS, CITY OF GREER SOUTH CAROLINA",11/04/2014,910,"[('GREER', 910)]","[('STA 85 POOL ZN4', 910)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","COMMISSION OF PUBLIC WORKS, CITY OF GREER SOUTH CAROLINA",10/31/2015,5270,"[('GREER', 5270)]","[('STA 85 POOL ZN4', 5270)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","COMMISSION OF PUBLIC WORKS, CITY OF GREER SOUTH CAROLINA",04/30/2017,2500,"[('GREER', 2500)]","[('SHUBUTA-DESTIN M3576', 2500)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","CPV SHORE, LLC",03/31/2030,264000,"[('WEC M6333', 264000)]","[('WOODBRIDGE TRANSFER', 264000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","DRAGON ENERGY, LLC",05/31/2102,6440,"[('PUBLIC SERVICE E&G', 6440)]","[('STA 45 POOL ZN2', 1610), ('STA 50 POOL ZN3', 1223), ('STA 62 POOL ZN3', 2512), ('STA 65 POOL ZN3', 1095)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",EAST CENTRAL ALABAMA GAS DISTRICT,10/30/2013,453,"[('GAS AUTHORITY', 453)]","[('STA 30 POOL ZN1', 77), ('STA 45 POOL ZN2', 114), ('STA 50 POOL ZN3', 86), ('STA 62 POOL ZN3', 176)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",EASTON UTILITIES,04/30/2018,2099,"[('EASTERN SHORE', 2099)]","[('STA 45 POOL ZN2', 524), ('STA 50 POOL ZN3', 399), ('STA 62 POOL ZN3', 819), ('STA 65 POOL ZN3', 357)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",EVERSOURCE GAS COMPANY OF MASSACHUSETTS DBA EVERSOURCE ENERGY,10/08/2021,1254,"[('ALGONQUIN-CTR M4402', 1254)]","[('WHARTON-NAT FUEL', 1254)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","FAIRLESS ENERGY, LLC",10/31/2035,21037,"[('FAIRLESS ENRGY M6309', 21037)]","[('CPH TRENTON MP 0', 21037)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","FAIRLESS ENERGY, LLC",10/31/2033,50000,"[('FAIRLESS ENRGY M6309', 50000)]","[('STA 210 POOL ZN6', 50000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","FAIRLESS ENERGY, LLC",10/31/2033,50000,"[('FAIRLESS ENRGY M6309', 50000)]","[('STA 210 POOL ZN6', 50000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",FORT HILL NATURAL GAS AUTHORITY,07/31/2022,12317,"[('STA 65 POOL ZN3', 81), ('FORT HILL GAS AUTH', 12317)]","[('STA 45 POOL ZN2', 3080), ('STA 50 POOL ZN3', 2340), ('STA 62 POOL ZN3', 4803), ('STA 65 POOL ZN3', 2094), ('WASHINGTON STG TRANS', 81)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",FORT HILL NATURAL GAS AUTHORITY,07/31/2022,6754,"[('FORT HILL GAS AUTH', 6754)]","[('HEIDELBERG', 6754)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",FORT HILL NATURAL GAS AUTHORITY,07/31/2022,207,"[('STA 65 POOL ZN3', 81), ('FORT HILL GAS AUTH', 207)]","[('STA 30 POOL ZN1', 35), ('STA 45 POOL ZN2', 52), ('STA 50 POOL ZN3', 39), ('STA 62 POOL ZN3', 81), ('WASHINGTON STG TRANS', 81)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",FORT HILL NATURAL GAS AUTHORITY,11/03/2017,2425,"[('FORT HILL GAS AUTH', 2425)]","[('STA 85 POOL ZN4', 2425)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",FORT HILL NATURAL GAS AUTHORITY,10/30/2018,7133,"[('FORT HILL GAS AUTH', 7133)]","[('STA 85 POOL ZN4', 7133)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",FORT HILL NATURAL GAS AUTHORITY,10/31/2017,3105,"[('FORT HILL GAS AUTH', 3105)]","[('STA 85 POOL ZN4', 3105)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",FORT HILL NATURAL GAS AUTHORITY,04/30/2017,8000,"[('FORT HILL GAS AUTH', 8000)]","[('SHUBUTA-DESTIN M3576', 8000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",FORT HILL NATURAL GAS AUTHORITY,04/30/2020,3000,"[('FORT HILL GAS AUTH', 3000)]","[('SHUBUTA-DESTIN M3576', 3000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",FORT HILL NATURAL GAS AUTHORITY,10/31/2026,675,"[('CPH MP 1302.37', 675)]","[('HOLMESVILLE', 675)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",FORT HILL NATURAL GAS AUTHORITY,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",FORT HILL NATURAL GAS AUTHORITY,10/31/2019,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",FORT HILL NATURAL GAS AUTHORITY,03/31/2032,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",FRONTIER NATURAL GAS COMPANY,06/30/2033,1245,"[('FRONTIER APPALACHIAN', 1245)]","[('STA 85 POOL ZN4', 1245)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",FRONTIER NATURAL GAS COMPANY,06/30/2033,227,"[('FRONTIER APPALACHIAN', 227)]","[('STA 30 POOL ZN1', 38), ('STA 45 POOL ZN2', 58), ('STA 50 POOL ZN3', 43), ('STA 62 POOL ZN3', 88)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",FRONTIER NATURAL GAS COMPANY,06/30/2033,2000,"[('FRONTIER APPALACHIAN', 2000)]","[('STA 30 POOL ZN1', 340), ('STA 45 POOL ZN2', 500), ('STA 50 POOL ZN3', 380), ('STA 62 POOL ZN3', 780)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",FRONTIER NATURAL GAS COMPANY,11/30/2059,141,"[('LEIDY-DOMINION', 141)]","[('UTOS TGPL', 138), ('CPH M/L 469.41', 3)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",FRONTIER NATURAL GAS COMPANY,01/31/2094,2337,"[('SHELBY M7102', 2337)]","[('STA 85 POOL ZN4', 2337)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",FRONTIER NATURAL GAS COMPANY,01/14/2104,2663,"[('SHELBY M7102', 2663)]","[('STA 30 POOL ZN1', 453), ('STA 45 POOL ZN2', 665), ('STA 50 POOL ZN3', 506), ('STA 62 POOL ZN3', 1039)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",HEIDELBERG MATERIALS US CEMENT LLC,08/03/2017,1000,"[('CAMDEN M6310', 1000)]","[('LEIDY-DOMINION', 1000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","INFINITE ENERGY, LLC",05/31/2012,2000,"[('CPH M/L 937.97 ALEXANDER CITY', 2000)]","[('STA 45 POOL ZN2', 500), ('STA 50 POOL ZN3', 380), ('STA 62 POOL ZN3', 780), ('STA 65 POOL ZN3', 340)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",INTERNATIONAL PAPER,12/31/2016,7000,"[('EMPORIA WALDROP', 7000)]","[('STA 165 POOL ZN5', 7000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","JP MORGAN CHASE BANK, N.A.",10/05/2033,26429,"[('STA 85 POOL ZN4', 26429)]","[('GRUGAN M3623', 26429)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID,01/31/2014,2100,"[('LONG ISLAND LIGHTING', 2100)]","[('LEIDY-DOMINION', 2100)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID,02/24/1998,1811,"[('LONG ISLAND LIGHTING', 1811)]","[('STA 45 POOL ZN2', 452), ('STA 50 POOL ZN3', 344), ('STA 62 POOL ZN3', 707), ('STA 65 POOL ZN3', 308)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID,05/31/2016,154287,"[('STA 65 POOL ZN3', 727), ('LONG ISLAND LIGHTING', 154287)]","[('STA 45 POOL ZN2', 38572), ('STA 50 POOL ZN3', 29314), ('STA 62 POOL ZN3', 60172), ('STA 65 POOL ZN3', 26229), ('WASHINGTON STG TRANS', 727)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID,10/30/2007,36225,"[('LONG ISLAND LIGHTING', 36225)]","[('LEIDY-DOMINION', 36225)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID,07/30/2006,1863,"[('STA 65 POOL ZN3', 727), ('LONG ISLAND LIGHTING', 1863)]","[('STA 30 POOL ZN1', 317), ('STA 45 POOL ZN2', 465), ('STA 50 POOL ZN3', 354), ('STA 62 POOL ZN3', 727), ('WASHINGTON STG TRANS', 727)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID,03/31/2013,17433,"[('LONG ISLAND LIGHTING', 17433)]","[('LEIDY-DOMINION', 17433)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID,10/31/2012,25000,"[('CONSOLIDATED EDISON', 25000)]","[('LEIDY-DOMINION', 25000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID,11/30/2011,25000,"[('CONSOLIDATED EDISON', 25000)]","[('LEIDY-DOMINION', 25000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID,12/12/2027,50000,"[('RIVERSIDE', 50000)]","[('LEIDY-DOMINION', 50000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID,12/12/2027,50000,"[('RIVERSIDE', 50000)]","[('LEIDY-DOMINION', 50000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID,03/31/2032,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",LIBERTY UTILITIES (PEACH STATE NATURAL GAS) CORP.,10/31/2013,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",LIBERTY UTILITIES (PEACH STATE NATURAL GAS) CORP.,04/30/2014,2000,"[('UNITED CIT GA M7037', 2000)]","[('STA 65 POOL ZN3', 2000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",LIBERTY UTILITIES (PEACH STATE NATURAL GAS) CORP.,12/31/2013,3933,"[('UNITED CIT GA M7037', 3933)]","[('HEIDELBERG', 3933)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",LIBERTY UTILITIES (PEACH STATE NATURAL GAS) CORP.,03/31/2016,207,"[('STA 65 POOL ZN3', 81), ('UNITED CIT GA M7037', 207)]","[('STA 30 POOL ZN1', 35), ('STA 45 POOL ZN2', 52), ('STA 50 POOL ZN3', 39), ('STA 62 POOL ZN3', 81), ('WASHINGTON STG TRANS', 81)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",LIBERTY UTILITIES (PEACH STATE NATURAL GAS) CORP.,03/31/2016,8384,"[('STA 65 POOL ZN3', 81), ('UNITED CIT GA M7037', 8384)]","[('STA 30 POOL ZN1', 1425), ('STA 45 POOL ZN2', 2096), ('STA 50 POOL ZN3', 1593), ('STA 62 POOL ZN3', 3270), ('WASHINGTON STG TRANS', 81)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",LIBERTY UTILITIES (PEACH STATE NATURAL GAS) CORP.,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",LIBERTY UTILITIES (PEACH STATE NATURAL GAS) CORP.,03/31/2032,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",LLOG DEEPWATER DEVELOPMENT COMPANY II LLC,10/31/2040,12622,"[('STA 85 POOL ZN4A', 12622)]","[('WHO DAT M2920', 12622)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","LLOG EXPLORATION OFFSHORE, L.L.C.",03/31/2025,328,"[('STA 85 POOL ZN4A', 328)]","[('WHO DAT M2920', 328)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",LLOG OMEGA HOLDINGS LLC,10/31/2040,10000,"[('STA 85 POOL ZN4A', 10000)]","[('WHO DAT M2920', 10000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",MAPLESVILLE WATER & GAS BOARD,10/30/2013,392,"[('GAS AUTHORITY', 392)]","[('STA 30 POOL ZN1', 66), ('STA 45 POOL ZN2', 98), ('STA 50 POOL ZN3', 75), ('STA 62 POOL ZN3', 153)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",MUNICIPAL ELECTRIC AUTHORITY OF GEORGIA,01/31/2019,48000,"[('WANSLEY UNIT 9', 48000)]","[('STA 65 POOL ZN3', 12000), ('SHUBUTA-DESTIN M3576', 36000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",NEWARK ENERGY CENTER LLC,04/04/2022,125000,"[('DELANCY M6332', 125000)]","[('BAYONNE TRANSFER', 125000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",NORTHEAST ENERGY ASSOCIATES,08/31/2027,25254,"[('ALGONQUIN-CTR M4402', 25254)]","[('LEIDY-NATIONAL FUEL', 25254)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",NSTAR GAS COMPANY,05/31/2008,3073,"[('ALGONQUIN-CTR M4402', 3073)]","[('WHARTON-NAT FUEL', 3073)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",NUCOR STEEL LOUISIANA LLC,12/31/2025,45000,"[('STA 65 POOL ZN3', 45000)]","[('STA 62 POOL ZN3', 45000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",OGLETHORPE POWER CORPORATION,04/30/2043,81600,"[('CHATTAHOOCHEE', 81600)]","[('STA 65 POOL ZN3', 40800), ('SHUBUTA-DESTIN M3576', 40800)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",OGLETHORPE POWER CORPORATION,07/31/2042,208000,"[('HOLMESVILLE', 208000)]","[('STA 210 POOL ZN6', 208000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",OGLETHORPE POWER CORPORATION,03/31/2032,4000,"[('UGI', 4000)]","[('STA 45 POOL ZN2', 1000), ('STA 50 POOL ZN3', 760), ('STA 62 POOL ZN3', 1560), ('STA 65 POOL ZN3', 680)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",OGLETHORPE POWER CORPORATION,03/31/2032,4075,"[('UGI', 4075)]","[('STA 45 POOL ZN2', 1019), ('STA 50 POOL ZN3', 774), ('STA 62 POOL ZN3', 1589), ('STA 65 POOL ZN3', 693)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",OLD DOMINION ELECTRIC COOPERATIVE,07/31/2046,192000,"[('WILDCAT PWR GEN M6337', 192000)]","[('STA 210 POOL ZN6', 192000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","OWENS CORNING SALES, LLC",03/30/1999,6210,"[('OWENS CORNING M7023', 6210)]","[('STA 30 POOL ZN1', 1056), ('STA 45 POOL ZN2', 1552), ('STA 50 POOL ZN3', 1180), ('STA 62 POOL ZN3', 2422)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","OWENS CORNING SALES, LLC",03/31/2028,0,[],[]
