Ticker,Name,Region,State
PWNA.NRC.GEN.0004600001.A,Browns Ferry 1,Southeast,Alabama
PWNA.NRC.GEN.0004600001.F,Browns Ferry 1,Southeast,Alabama
PWNA.NRC.GEN.0004600002.A,Browns Ferry 2,Southeast,Alabama
PWNA.NRC.GEN.0004600002.F,Browns Ferry 2,Southeast,Alabama
PWNA.NRC.GEN.0004600003.A,Browns Ferry 3,Southeast,Alabama
PWNA.NRC.GEN.0004600003.F,Browns Ferry 3,Southeast,Alabama
PWNA.NRC.GEN.0020400001.A,Clinton,Midwest,Illinois
PWNA.NRC.GEN.0020400001.F,Clinton,Midwest,Illinois
PWNA.NRC.GEN.0021000001.A,Wolf Creek 1,South Central,Kansas
PWNA.NRC.GEN.0021000001.F,Wolf Creek 1,South Central,Kansas
PWNA.NRC.GEN.0037100002.A,Columbia Generating Station,West,Washington
PWNA.NRC.GEN.0037100002.F,Columbia Generating Station,West,Washington
PWNA.NRC.GEN.0056600002.A,Millstone 2,Northeast,Connecticut
PWNA.NRC.GEN.0056600002.F,Millstone 2,Northeast,Connecticut
PWNA.NRC.GEN.0056600003.F,Millstone 3,Northeast,Connecticut
PWNA.NRC.GEN.0056600003.A,Millstone 3,Northeast,Connecticut
PWNA.NRC.GEN.0062100003.F,Turkey Point 3,Southeast,Florida
PWNA.NRC.GEN.0062100003.A,Turkey Point 3,Southeast,Florida
PWNA.NRC.GEN.0062100004.F,Turkey Point 4,Southeast,Florida
PWNA.NRC.GEN.0062100004.A,Turkey Point 4,Southeast,Florida
PWNA.NRC.GEN.0064900001.A,Vogtle 1,Southeast,Georgia
PWNA.NRC.GEN.0064900001.F,Vogtle 1,Southeast,Georgia
PWNA.NRC.GEN.0064900002.F,Vogtle 2,Southeast,Georgia
PWNA.NRC.GEN.0064900002.A,Vogtle 2,Southeast,Georgia
PWNA.NRC.GEN.0064900003.F,Vogtle 3,Southeast,Georgia
PWNA.NRC.GEN.0064900003.A,Vogtle 3,Southeast,Georgia
PWNA.NRC.GEN.0064900004.F,Vogtle 4,Southeast,Georgia
PWNA.NRC.GEN.0064900004.A,Vogtle 4,Southeast,Georgia
PWNA.NRC.GEN.0086900002.F,Dresden 2,Midwest,Illinois
PWNA.NRC.GEN.0086900002.A,Dresden 2,Midwest,Illinois
PWNA.NRC.GEN.0086900003.F,Dresden 3,Midwest,Illinois
PWNA.NRC.GEN.0086900003.A,Dresden 3,Midwest,Illinois
PWNA.NRC.GEN.0088000001.F,Quad Cities 1,Midwest,Illinois
PWNA.NRC.GEN.0088000001.A,Quad Cities 1,Midwest,Illinois
PWNA.NRC.GEN.0088000002.F,Quad Cities 2,Midwest,Illinois
PWNA.NRC.GEN.0088000002.A,Quad Cities 2,Midwest,Illinois
PWNA.NRC.GEN.0106000001.A,Duane Arnold,Midwest,Iowa
PWNA.NRC.GEN.0106000001.F,Duane Arnold,Midwest,Iowa
PWNA.NRC.GEN.0159000001.A,Pilgrim 1,Northeast,Massachusetts
PWNA.NRC.GEN.0159000001.F,Pilgrim 1,Northeast,Massachusetts
PWNA.NRC.GEN.0171500001.A,Palisades,Midwest,Michigan
PWNA.NRC.GEN.0171500001.F,Palisades,Midwest,Michigan
PWNA.NRC.GEN.0172900002.A,Fermi 2,Midwest,Michigan
PWNA.NRC.GEN.0172900002.F,Fermi 2,Midwest,Michigan
PWNA.NRC.GEN.0192200001.A,Monticello,Midwest,Minnesota
PWNA.NRC.GEN.0192200001.F,Monticello,Midwest,Minnesota
PWNA.NRC.GEN.0192500001.A,Prairie Island 1,Midwest,Minnesota
PWNA.NRC.GEN.0192500001.F,Prairie Island 1,Midwest,Minnesota
PWNA.NRC.GEN.0192500002.A,Prairie Island 2,Midwest,Minnesota
PWNA.NRC.GEN.0192500002.F,Prairie Island 2,Midwest,Minnesota
PWNA.NRC.GEN.0228900001.A,Fort Calhoun,Rockies,Nebraska
PWNA.NRC.GEN.0228900001.F,Fort Calhoun,Rockies,Nebraska
PWNA.NRC.GEN.0238800001.F,Oyster Creek,Northeast,New Jersey
PWNA.NRC.GEN.0238800001.A,Oyster Creek,Northeast,New Jersey
PWNA.NRC.GEN.0241000001.F,Salem 1,Northeast,New Jersey
PWNA.NRC.GEN.0241000001.A,Salem 1,Northeast,New Jersey
PWNA.NRC.GEN.0241000002.F,Salem 2,Northeast,New Jersey
PWNA.NRC.GEN.0241000002.A,Salem 2,Northeast,New Jersey
PWNA.NRC.GEN.0249700002.F,Indian Point 2,Northeast,New York
PWNA.NRC.GEN.0249700002.A,Indian Point 2,Northeast,New York
PWNA.NRC.GEN.0258900001.F,Nine Mile Point 1,Northeast,New York
PWNA.NRC.GEN.0258900001.A,Nine Mile Point 1,Northeast,New York
PWNA.NRC.GEN.0258900002.A,Nine Mile Point 2,Northeast,New York
PWNA.NRC.GEN.0258900002.F,Nine Mile Point 2,Northeast,New York
PWNA.NRC.GEN.0316600002.A,Peach Bottom 2,Northeast,Pennsylvania
PWNA.NRC.GEN.0316600002.F,Peach Bottom 2,Northeast,Pennsylvania
PWNA.NRC.GEN.0316600003.F,Peach Bottom 3,Northeast,Pennsylvania
PWNA.NRC.GEN.0316600003.A,Peach Bottom 3,Northeast,Pennsylvania
PWNA.NRC.GEN.0325100002.A,Robinson 2,Southeast,South Carolina
PWNA.NRC.GEN.0325100002.F,Robinson 2,Southeast,South Carolina
PWNA.NRC.GEN.0326500001.A,Oconee 1,Southeast,South Carolina
PWNA.NRC.GEN.0326500001.F,Oconee 1,Southeast,South Carolina
PWNA.NRC.GEN.0326500002.A,Oconee 2,Southeast,South Carolina
PWNA.NRC.GEN.0326500002.F,Oconee 2,Southeast,South Carolina
PWNA.NRC.GEN.0326500003.A,Oconee 3,Southeast,South Carolina
PWNA.NRC.GEN.0326500003.F,Oconee 3,Southeast,South Carolina
PWNA.NRC.GEN.0375100001.A,Vermont Yankee,Northeast,Vermont
PWNA.NRC.GEN.0375100001.F,Vermont Yankee,Northeast,Vermont
PWNA.NRC.GEN.0380600001.A,Surry 1,Northeast,Virginia
PWNA.NRC.GEN.0380600001.F,Surry 1,Northeast,Virginia
PWNA.NRC.GEN.0380600002.A,Surry 2,Northeast,Virginia
PWNA.NRC.GEN.0380600002.F,Surry 2,Northeast,Virginia
PWNA.NRC.GEN.0404600001.A,Point Beach 1,Midwest,Wisconsin
PWNA.NRC.GEN.0404600001.F,Point Beach 1,Midwest,Wisconsin
PWNA.NRC.GEN.0404600002.A,Point Beach 2,Midwest,Wisconsin
PWNA.NRC.GEN.0404600002.F,Point Beach 2,Midwest,Wisconsin
PWNA.NRC.GEN.0427000003.A,Waterford 3,South Central,Louisiana
PWNA.NRC.GEN.0427000003.F,Waterford 3,South Central,Louisiana
PWNA.NRC.GEN.0600000001.A,D.C. Cook 1,Midwest,Michigan
PWNA.NRC.GEN.0600000001.F,D.C. Cook 1,Midwest,Michigan
PWNA.NRC.GEN.0600000002.F,D.C. Cook 2,Midwest,Michigan
PWNA.NRC.GEN.0600000002.A,D.C. Cook 2,Midwest,Michigan
PWNA.NRC.GEN.0600100001.F,Farley 1,Southeast,Alabama
PWNA.NRC.GEN.0600100001.A,Farley 1,Southeast,Alabama
PWNA.NRC.GEN.0600100002.F,Farley 2,Southeast,Alabama
PWNA.NRC.GEN.0600100002.A,Farley 2,Southeast,Alabama
PWNA.NRC.GEN.0600800001.A,Palo Verde 1,Rockies,Arizona
PWNA.NRC.GEN.0600800001.F,Palo Verde 1,Rockies,Arizona
PWNA.NRC.GEN.0600800002.A,Palo Verde 2,Rockies,Arizona
PWNA.NRC.GEN.0600800002.F,Palo Verde 2,Rockies,Arizona
PWNA.NRC.GEN.0600800003.F,Palo Verde 3,Rockies,Arizona
PWNA.NRC.GEN.0600800003.A,Palo Verde 3,Rockies,Arizona
PWNA.NRC.GEN.0601100001.A,Calvert Cliffs 1,Northeast,Maryland
PWNA.NRC.GEN.0601100001.F,Calvert Cliffs 1,Northeast,Maryland
PWNA.NRC.GEN.0601100002.A,Calvert Cliffs 2,Northeast,Maryland
PWNA.NRC.GEN.0601100002.F,Calvert Cliffs 2,Northeast,Maryland
PWNA.NRC.GEN.0601400001.F,Brunswick 1,Southeast,North Carolina
PWNA.NRC.GEN.0601400001.A,Brunswick 1,Southeast,North Carolina
PWNA.NRC.GEN.0601400002.F,Brunswick 2,Southeast,North Carolina
PWNA.NRC.GEN.0601400002.A,Brunswick 2,Southeast,North Carolina
PWNA.NRC.GEN.0601500001.A,Harris 1,Southeast,North Carolina
PWNA.NRC.GEN.0601500001.F,Harris 1,Southeast,North Carolina
PWNA.NRC.GEN.0602000001.A,Perry 1,Northeast,Ohio
PWNA.NRC.GEN.0602000001.F,Perry 1,Northeast,Ohio
PWNA.NRC.GEN.0602200001.F,Braidwood 1,Midwest,Illinois
PWNA.NRC.GEN.0602200001.A,Braidwood 1,Midwest,Illinois
PWNA.NRC.GEN.0602200002.A,Braidwood 2,Midwest,Illinois
PWNA.NRC.GEN.0602200002.F,Braidwood 2,Midwest,Illinois
PWNA.NRC.GEN.0602300001.A,Byron 1,Midwest,Illinois
PWNA.NRC.GEN.0602300001.F,Byron 1,Midwest,Illinois
PWNA.NRC.GEN.0602300002.F,Byron 2,Midwest,Illinois
PWNA.NRC.GEN.0602300002.A,Byron 2,Midwest,Illinois
PWNA.NRC.GEN.0602600001.F,LaSalle 1,Midwest,Illinois
PWNA.NRC.GEN.0602600001.A,LaSalle 1,Midwest,Illinois
PWNA.NRC.GEN.0602600002.A,LaSalle 2,Midwest,Illinois
PWNA.NRC.GEN.0602600002.F,LaSalle 2,Midwest,Illinois
PWNA.NRC.GEN.0603600001.F,Catawba 1,Southeast,South Carolina
PWNA.NRC.GEN.0603600001.A,Catawba 1,Southeast,South Carolina
PWNA.NRC.GEN.0603600002.F,Catawba 2,Southeast,South Carolina
PWNA.NRC.GEN.0603600002.A,Catawba 2,Southeast,South Carolina
PWNA.NRC.GEN.0603800001.A,McGuire 1,Southeast,North Carolina
PWNA.NRC.GEN.0603800001.F,McGuire 1,Southeast,North Carolina
PWNA.NRC.GEN.0603800002.F,McGuire 2,Southeast,North Carolina
PWNA.NRC.GEN.0603800002.A,McGuire 2,Southeast,North Carolina
PWNA.NRC.GEN.0604000001.F,Beaver Valley 1,Northeast,Pennsylvania
PWNA.NRC.GEN.0604000001.A,Beaver Valley 1,Northeast,Pennsylvania
PWNA.NRC.GEN.0604000002.A,Beaver Valley 2,Northeast,Pennsylvania
PWNA.NRC.GEN.0604000002.F,Beaver Valley 2,Northeast,Pennsylvania
PWNA.NRC.GEN.0604500001.A,Saint Lucie 1,Southeast,Florida
PWNA.NRC.GEN.0604500001.F,Saint Lucie 1,Southeast,Florida
PWNA.NRC.GEN.0604500002.A,Saint Lucie 2,Southeast,Florida
PWNA.NRC.GEN.0604500002.F,Saint Lucie 2,Southeast,Florida
PWNA.NRC.GEN.0605100001.A,Hatch 1,Southeast,Georgia
PWNA.NRC.GEN.0605100001.F,Hatch 1,Southeast,Georgia
PWNA.NRC.GEN.0605100002.A,Hatch 2,Southeast,Georgia
PWNA.NRC.GEN.0605100002.F,Hatch 2,Southeast,Georgia
PWNA.NRC.GEN.0607200001.F,Grand Gulf 1,South Central,Mississippi
PWNA.NRC.GEN.0607200001.A,Grand Gulf 1,South Central,Mississippi
PWNA.NRC.GEN.0609900001.A,Diablo Canyon 1,West,California
PWNA.NRC.GEN.0609900001.F,Diablo Canyon 1,West,California
PWNA.NRC.GEN.0609900002.A,Diablo Canyon 2,West,California
PWNA.NRC.GEN.0609900002.F,Diablo Canyon 2,West,California
PWNA.NRC.GEN.0610300001.A,Susquehanna 1,Northeast,Pennsylvania
PWNA.NRC.GEN.0610300001.F,Susquehanna 1,Northeast,Pennsylvania
PWNA.NRC.GEN.0610300002.F,Susquehanna 2,Northeast,Pennsylvania
PWNA.NRC.GEN.0610300002.A,Susquehanna 2,Northeast,Pennsylvania
PWNA.NRC.GEN.0610500001.F,Limerick 1,Northeast,Pennsylvania
PWNA.NRC.GEN.0610500001.A,Limerick 1,Northeast,Pennsylvania
PWNA.NRC.GEN.0610500002.F,Limerick 2,Northeast,Pennsylvania
PWNA.NRC.GEN.0610500002.A,Limerick 2,Northeast,Pennsylvania
PWNA.NRC.GEN.0611000001.F,FitzPatrick,Northeast,New York
PWNA.NRC.GEN.0611000001.A,FitzPatrick,Northeast,New York
PWNA.NRC.GEN.0611500001.F,Seabrook 1,Northeast,New Hampshire
PWNA.NRC.GEN.0611500001.A,Seabrook 1,Northeast,New Hampshire
PWNA.NRC.GEN.0611800001.F,Hope Creek 1,Northeast,New Jersey
PWNA.NRC.GEN.0611800001.A,Hope Creek 1,Northeast,New Jersey
PWNA.NRC.GEN.0612200001.F,Ginna,Northeast,New York
PWNA.NRC.GEN.0612200001.A,Ginna,Northeast,New York
PWNA.NRC.GEN.0612700001.A,Summer,Southeast,South Carolina
PWNA.NRC.GEN.0612700001.F,Summer,Southeast,South Carolina
PWNA.NRC.GEN.0614500001.F,Comanche Peak 1,South Central,Texas
PWNA.NRC.GEN.0614500001.A,Comanche Peak 1,South Central,Texas
PWNA.NRC.GEN.0614500002.A,Comanche Peak 2,South Central,Texas
PWNA.NRC.GEN.0614500002.F,Comanche Peak 2,South Central,Texas
PWNA.NRC.GEN.0614900001.F,Davis-Besse,Northeast,Ohio
PWNA.NRC.GEN.0614900001.A,Davis-Besse,Northeast,Ohio
PWNA.NRC.GEN.0615200001.F,Sequoyah 1,Midwest,Tennessee
PWNA.NRC.GEN.0615200001.A,Sequoyah 1,Midwest,Tennessee
PWNA.NRC.GEN.0615200002.F,Sequoyah 2,Midwest,Tennessee
PWNA.NRC.GEN.0615200002.A,Sequoyah 2,Midwest,Tennessee
PWNA.NRC.GEN.0615300001.F,Callaway,Midwest,Missouri
PWNA.NRC.GEN.0615300001.A,Callaway,Midwest,Missouri
PWNA.NRC.GEN.0616800001.A,North Anna 1,Northeast,Virginia
PWNA.NRC.GEN.0616800001.F,North Anna 1,Northeast,Virginia
PWNA.NRC.GEN.0616800002.F,North Anna 2,Northeast,Virginia
PWNA.NRC.GEN.0616800002.A,North Anna 2,Northeast,Virginia
PWNA.NRC.GEN.0625100001.A,South Texas 1,South Central,Texas
PWNA.NRC.GEN.0625100001.F,South Texas 1,South Central,Texas
PWNA.NRC.GEN.0625100002.A,South Texas 2,South Central,Texas
PWNA.NRC.GEN.0625100002.F,South Texas 2,South Central,Texas
PWNA.NRC.GEN.0646200001.A,River Bend 1,South Central,Louisiana
PWNA.NRC.GEN.0646200001.F,River Bend 1,South Central,Louisiana
PWNA.NRC.GEN.0772200001.F,Watts Bar 1,Midwest,Tennessee
PWNA.NRC.GEN.0772200001.A,Watts Bar 1,Midwest,Tennessee
PWNA.NRC.GEN.0772200002.A,Watts Bar 2,Midwest,Tennessee
PWNA.NRC.GEN.0772200002.F,Watts Bar 2,Midwest,Tennessee
PWNA.NRC.GEN.0801100001.A,Three Mile Island 1,Northeast,Pennsylvania
PWNA.NRC.GEN.0801100001.F,Three Mile Island 1,Northeast,Pennsylvania
PWNA.NRC.GEN.0803600001.A,Cooper,Rockies,Nebraska
PWNA.NRC.GEN.0803600001.F,Cooper,Rockies,Nebraska
PWNA.NRC.GEN.0805500001.A,Arkansas Nuclear 1,South Central,Arkansas
PWNA.NRC.GEN.0805500001.F,Arkansas Nuclear 1,South Central,Arkansas
PWNA.NRC.GEN.0805500002.A,Arkansas Nuclear 2,South Central,Arkansas
PWNA.NRC.GEN.0805500002.F,Arkansas Nuclear 2,South Central,Arkansas
PWNA.NRC.GEN.0890700003.F,Indian Point 3,Northeast,New York
PWNA.NRC.GEN.0890700003.A,Indian Point 3,Northeast,New York
